跟进助理	备注	项目名	负责人	职称	依托单位	经费▼	起始时间	领域	电话	邮箱	
		黄芩汤减缓伊立替康水解产物SN38肠道蓄积的效应物质基础及机制研究	侯洁		大连医科大学	自然科学基金医疗健康联合基金	2018				
		儿茶酚胺调节肺部菌群影响肺部健康的机制研究	鄢秋龙		大连医科大学	自然科学基金医疗健康联合基金	2018				
		人参蛋白调控BDNF-TrkB通路抗阿尔茨海默病的作用机制及其对肠道菌群的影响	李红艳		辽宁中医药大学	自然科学基金医疗健康联合基金	2018				
		基于“脑-肠-菌轴”的枳术丸中用生制白术的炮制机理研究	单国顺		辽宁中医药大学	博士启动基金	2018				
		脑缺血后肠道菌群调节卒中后中枢痛的机制研究	周志可		中国医科大学	博士启动基金	2018				
		饲料益生元调控凡纳滨对虾肝肠健康提高其抗应激性能的研究	李二超		海南大学	10	2018				
		以肠道菌群为靶点的四逆汤对小鼠IBD的作用研究	宋宇		海南热带海洋学院	10	2018				
		南海七连屿土壤菌群结构解析及其对环境响应的研究	陈永敢		海南热带海洋学院	5	2018				
		海南苔藓内生真菌的多样性及生物活性物质研究	王新广		海南大学	5	2018				
		基于养殖生态系统菌群动态变化的方斑东风螺“翻背症”研究	赵旺		中国水产科学研究院南海水产研究所热带水产研究开发中心	8	2018				
		肠道菌群对帕金森病抑郁大鼠的影响及低聚果糖的干预作用	张填		海南医学院第一附属医院	5	2018				
		益生菌发酵成熟椰子水及其品质分析	邓健		海南大学	5	2018				
		克氏原螯虾-水稻共作系统中主要微生物群落特征及形成机制研究			中国水产科学研究院淡水渔业研究中心	面上项目	2018				
		蒲公英提取物调控动物肠道菌群微生态平衡的物质基础研究			中国林业科学研究院林产化学工业研究所	面上项目	2018				
		污泥厌氧消化系统中同型产乙酸菌的功能和贡献			江南大学	面上项目	2018				
		肠道菌群产H2S通过调控GLP-1分泌影响机体糖代谢的机制研究			无锡市第三人民医院	面上项目	2018				
		肠道菌群紊乱诱导L-型钙通道可塑性变化在糖尿病肠道感觉高敏中的作用及机制研究			苏州大学附属第二医院	面上项目	2018				
		太湖不同湖区湖滨带芦苇根际细菌群落及其构建机制			河海大学	面上项目	2018				
		稻田田面水营养水平变化对自然生物膜中藻-菌相互作用关系的影响机制研究			中国科学院南京土壤研究所	面上项目	2018				
		基于组学技术研究膳食绿原酸增强肠黏膜屏障紧密连接的作用机制	阮征		南昌大学	杰出青年基金	2018				
		肠道菌群孔道形成毒素通过调控线粒体功能影响脂代谢的机制研究	向阳		南昌大学	杰出青年基金	2018				
		肠道菌群在改良空回肠旁路术后胰腺β细胞功能改善中的作用机制研究	段金元		南昌大学第二附属医院	杰出青年基金	2018				
		互花米草入侵对滨海湿地丛枝菌根真菌多样性及群落结构的影响	郭晓红 		鲁东大学	培养基金 	2018				
		山东省典型盐生植物根际氮循环功能微生物群落结构研究	宋延静 		山东省蚕业研究所	培养基金 	2018				
		研干究旱对黄芩黄酮类成分影响机制的 代谢组学研究 	管仁伟 		山东省中医药研究院 	培养基金 	2018				
		清道夫受体参与肠道菌群动态平衡调控的作用机制研究	杨明冲		山东大学	博士基金	2018				
		整合宏组学技术分析畜禽粪污处理中耐药基因的来源与消减机制	张丽丽		山东大学	博士基金	2018				
		肠道菌群通过巨噬细胞极化调控机体炎症反应及白色脂肪棕色化的机制及应用	满晓朏		青岛大学	博士基金	2018				
		基于基因多样性分析及RecA介导 的宏基因组中几丁质酶高效筛选 	张扬		聊城大学	青年基金	2018				
		纳米材料防污涂层表面生物膜中真核生物群落多样性降低与涂层防污性能之间关联性的初步研究	张治洲		哈尔滨工业大学 (威海)	面上项目	2018				
		黄河口湿地土壤硝酸盐转化主导途径及其微生物驱动机制研究	高峥 		山东农业大学	面上项目	2018				
		黄河三角洲土壤微生物的盐度梯度分布格局与多样性维持机制研究	郭笃发 		山东师范大学	面上项目	2018				
		干湿交替影响滨海湿地甲烷产生和氧化微生物多样性的机制研究	王欧美		滨州医学院	面上项目	2018				
		基于硫酸盐还原修复的酸性矿山废水与生活污水共处理机制及微生物群落结构相应	张明亮		济南大学	面上项目	2018				
		肠道微生态对高尿酸血症尿酸代谢的影响及机制研究	田字彬		青岛大学	面上项目	2018				
											
											
											
											
											
											
											
											
											
											
											
